group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
attention/decode_breakdown,kv_cache_1024,,,,121770356.0,ns,4
attention/decode_breakdown,kv_cache_1024,,,,80377494.0,ns,4
attention/decode_breakdown,kv_cache_1024,,,,82309069.0,ns,4
attention/decode_breakdown,kv_cache_1024,,,,80800317.0,ns,4
attention/decode_breakdown,kv_cache_1024,,,,70348661.0,ns,4
attention/decode_breakdown,kv_cache_1024,,,,67676620.0,ns,4
attention/decode_breakdown,kv_cache_1024,,,,80346552.0,ns,4
attention/decode_breakdown,kv_cache_1024,,,,87129070.0,ns,4
attention/decode_breakdown,kv_cache_1024,,,,84105551.0,ns,4
attention/decode_breakdown,kv_cache_1024,,,,85145845.0,ns,4
attention/decode_breakdown,kv_cache_1024,,,,81351492.0,ns,4
attention/decode_breakdown,kv_cache_1024,,,,73801984.0,ns,4
attention/decode_breakdown,kv_cache_1024,,,,73598863.0,ns,4
attention/decode_breakdown,kv_cache_1024,,,,91826220.0,ns,4
attention/decode_breakdown,kv_cache_1024,,,,93466013.0,ns,4
attention/decode_breakdown,kv_cache_1024,,,,87599454.0,ns,4
attention/decode_breakdown,kv_cache_1024,,,,85067862.0,ns,4
attention/decode_breakdown,kv_cache_1024,,,,82137932.0,ns,4
attention/decode_breakdown,kv_cache_1024,,,,81272653.0,ns,4
attention/decode_breakdown,kv_cache_1024,,,,79497862.0,ns,4
attention/decode_breakdown,kv_cache_1024,,,,72586448.0,ns,4
attention/decode_breakdown,kv_cache_1024,,,,81671164.0,ns,4
attention/decode_breakdown,kv_cache_1024,,,,84294433.0,ns,4
attention/decode_breakdown,kv_cache_1024,,,,71377167.0,ns,4
attention/decode_breakdown,kv_cache_1024,,,,75038762.0,ns,4
attention/decode_breakdown,kv_cache_1024,,,,96581762.0,ns,4
attention/decode_breakdown,kv_cache_1024,,,,84023188.0,ns,4
attention/decode_breakdown,kv_cache_1024,,,,83271348.0,ns,4
attention/decode_breakdown,kv_cache_1024,,,,75728779.0,ns,4
attention/decode_breakdown,kv_cache_1024,,,,81767926.0,ns,4
