group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
attention/decode_throughput,kv_cache_len,1024,1,elements,44941716.0,ns,2
attention/decode_throughput,kv_cache_len,1024,1,elements,45097932.0,ns,2
attention/decode_throughput,kv_cache_len,1024,1,elements,43721511.0,ns,2
attention/decode_throughput,kv_cache_len,1024,1,elements,34790325.0,ns,2
attention/decode_throughput,kv_cache_len,1024,1,elements,31644629.0,ns,2
attention/decode_throughput,kv_cache_len,1024,1,elements,51865353.0,ns,2
attention/decode_throughput,kv_cache_len,1024,1,elements,59389398.0,ns,2
attention/decode_throughput,kv_cache_len,1024,1,elements,53030399.0,ns,2
attention/decode_throughput,kv_cache_len,1024,1,elements,39641564.0,ns,2
attention/decode_throughput,kv_cache_len,1024,1,elements,41800169.0,ns,2
attention/decode_throughput,kv_cache_len,1024,1,elements,41825620.0,ns,2
attention/decode_throughput,kv_cache_len,1024,1,elements,38841513.0,ns,2
attention/decode_throughput,kv_cache_len,1024,1,elements,40333933.0,ns,2
attention/decode_throughput,kv_cache_len,1024,1,elements,34278552.0,ns,2
attention/decode_throughput,kv_cache_len,1024,1,elements,42580111.0,ns,2
attention/decode_throughput,kv_cache_len,1024,1,elements,40979735.0,ns,2
attention/decode_throughput,kv_cache_len,1024,1,elements,40579637.0,ns,2
attention/decode_throughput,kv_cache_len,1024,1,elements,36524582.0,ns,2
attention/decode_throughput,kv_cache_len,1024,1,elements,48093034.0,ns,2
attention/decode_throughput,kv_cache_len,1024,1,elements,50874470.0,ns,2
attention/decode_throughput,kv_cache_len,1024,1,elements,42737938.0,ns,2
attention/decode_throughput,kv_cache_len,1024,1,elements,44497683.0,ns,2
attention/decode_throughput,kv_cache_len,1024,1,elements,38042469.0,ns,2
attention/decode_throughput,kv_cache_len,1024,1,elements,33937423.0,ns,2
attention/decode_throughput,kv_cache_len,1024,1,elements,42282563.0,ns,2
attention/decode_throughput,kv_cache_len,1024,1,elements,34207035.0,ns,2
attention/decode_throughput,kv_cache_len,1024,1,elements,40447847.0,ns,2
attention/decode_throughput,kv_cache_len,1024,1,elements,46124705.0,ns,2
attention/decode_throughput,kv_cache_len,1024,1,elements,36362268.0,ns,2
attention/decode_throughput,kv_cache_len,1024,1,elements,46336689.0,ns,2
attention/decode_throughput,kv_cache_len,1024,1,elements,45981387.0,ns,2
attention/decode_throughput,kv_cache_len,1024,1,elements,55318134.0,ns,2
attention/decode_throughput,kv_cache_len,1024,1,elements,58638660.0,ns,2
attention/decode_throughput,kv_cache_len,1024,1,elements,55917438.0,ns,2
attention/decode_throughput,kv_cache_len,1024,1,elements,49254408.0,ns,2
attention/decode_throughput,kv_cache_len,1024,1,elements,32924368.0,ns,2
attention/decode_throughput,kv_cache_len,1024,1,elements,32909980.0,ns,2
attention/decode_throughput,kv_cache_len,1024,1,elements,32246479.0,ns,2
attention/decode_throughput,kv_cache_len,1024,1,elements,35213499.0,ns,2
attention/decode_throughput,kv_cache_len,1024,1,elements,33378804.0,ns,2
attention/decode_throughput,kv_cache_len,1024,1,elements,34134121.0,ns,2
attention/decode_throughput,kv_cache_len,1024,1,elements,35716823.0,ns,2
attention/decode_throughput,kv_cache_len,1024,1,elements,36080555.0,ns,2
attention/decode_throughput,kv_cache_len,1024,1,elements,34483924.0,ns,2
attention/decode_throughput,kv_cache_len,1024,1,elements,34926800.0,ns,2
attention/decode_throughput,kv_cache_len,1024,1,elements,35231420.0,ns,2
attention/decode_throughput,kv_cache_len,1024,1,elements,37797355.0,ns,2
attention/decode_throughput,kv_cache_len,1024,1,elements,38435397.0,ns,2
attention/decode_throughput,kv_cache_len,1024,1,elements,40795580.0,ns,2
attention/decode_throughput,kv_cache_len,1024,1,elements,37515868.0,ns,2
