group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
attention/decode_throughput,kv_cache_len,4096,1,elements,110581234.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,137592604.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,113329231.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,128716229.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,107778713.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,124787206.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,112696807.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,125111005.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,111557193.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,135167576.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,120877304.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,125147026.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,113910664.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,121621403.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,103554083.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,129228853.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,110209933.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,154910066.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,127203861.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,126664670.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,102986557.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,132926839.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,107560894.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,121172357.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,114129401.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,136885864.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,118199049.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,122119710.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,112880988.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,110970014.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,114214318.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,133840910.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,132569988.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,138184771.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,116998983.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,141746794.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,113585481.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,135428299.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,102955583.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,135334584.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,117394333.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,187558929.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,133450168.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,148269095.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,114795812.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,137134340.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,112565110.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,136687356.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,116297763.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,130365454.0,ns,1
