group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
attention/prefill_breakdown,seq_len_512,,,,921876380.0,ns,1
attention/prefill_breakdown,seq_len_512,,,,876041397.0,ns,1
attention/prefill_breakdown,seq_len_512,,,,1138069448.0,ns,1
attention/prefill_breakdown,seq_len_512,,,,1171948028.0,ns,1
attention/prefill_breakdown,seq_len_512,,,,927728913.0,ns,1
attention/prefill_breakdown,seq_len_512,,,,915247762.0,ns,1
attention/prefill_breakdown,seq_len_512,,,,943939457.0,ns,1
attention/prefill_breakdown,seq_len_512,,,,788253525.0,ns,1
attention/prefill_breakdown,seq_len_512,,,,814019304.0,ns,1
attention/prefill_breakdown,seq_len_512,,,,880589059.0,ns,1
attention/prefill_breakdown,seq_len_512,,,,834278542.0,ns,1
attention/prefill_breakdown,seq_len_512,,,,859795459.0,ns,1
attention/prefill_breakdown,seq_len_512,,,,932532555.0,ns,1
attention/prefill_breakdown,seq_len_512,,,,805062747.0,ns,1
attention/prefill_breakdown,seq_len_512,,,,947441626.0,ns,1
attention/prefill_breakdown,seq_len_512,,,,851058560.0,ns,1
attention/prefill_breakdown,seq_len_512,,,,929257685.0,ns,1
attention/prefill_breakdown,seq_len_512,,,,866555873.0,ns,1
attention/prefill_breakdown,seq_len_512,,,,938954510.0,ns,1
attention/prefill_breakdown,seq_len_512,,,,875170247.0,ns,1
attention/prefill_breakdown,seq_len_512,,,,880874426.0,ns,1
attention/prefill_breakdown,seq_len_512,,,,877785843.0,ns,1
attention/prefill_breakdown,seq_len_512,,,,909254676.0,ns,1
attention/prefill_breakdown,seq_len_512,,,,887940517.0,ns,1
attention/prefill_breakdown,seq_len_512,,,,852355184.0,ns,1
attention/prefill_breakdown,seq_len_512,,,,1103655428.0,ns,1
attention/prefill_breakdown,seq_len_512,,,,1015930938.0,ns,1
attention/prefill_breakdown,seq_len_512,,,,1103604347.0,ns,1
attention/prefill_breakdown,seq_len_512,,,,844900392.0,ns,1
attention/prefill_breakdown,seq_len_512,,,,835417435.0,ns,1
