group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
attention/prefill_throughput,seq_len,1024,1024,elements,1667377854.0,ns,1
attention/prefill_throughput,seq_len,1024,1024,elements,1633720390.0,ns,1
attention/prefill_throughput,seq_len,1024,1024,elements,1606223648.0,ns,1
attention/prefill_throughput,seq_len,1024,1024,elements,1514794366.0,ns,1
attention/prefill_throughput,seq_len,1024,1024,elements,1560419949.0,ns,1
attention/prefill_throughput,seq_len,1024,1024,elements,1515870510.0,ns,1
attention/prefill_throughput,seq_len,1024,1024,elements,1568466223.0,ns,1
attention/prefill_throughput,seq_len,1024,1024,elements,1556859992.0,ns,1
attention/prefill_throughput,seq_len,1024,1024,elements,1444351727.0,ns,1
attention/prefill_throughput,seq_len,1024,1024,elements,1395406294.0,ns,1
attention/prefill_throughput,seq_len,1024,1024,elements,1443879883.0,ns,1
attention/prefill_throughput,seq_len,1024,1024,elements,1508302744.0,ns,1
attention/prefill_throughput,seq_len,1024,1024,elements,1619941986.0,ns,1
attention/prefill_throughput,seq_len,1024,1024,elements,1432186091.0,ns,1
attention/prefill_throughput,seq_len,1024,1024,elements,1439909277.0,ns,1
attention/prefill_throughput,seq_len,1024,1024,elements,1404207091.0,ns,1
attention/prefill_throughput,seq_len,1024,1024,elements,1383711789.0,ns,1
attention/prefill_throughput,seq_len,1024,1024,elements,1382252662.0,ns,1
attention/prefill_throughput,seq_len,1024,1024,elements,1368087054.0,ns,1
attention/prefill_throughput,seq_len,1024,1024,elements,1394072140.0,ns,1
attention/prefill_throughput,seq_len,1024,1024,elements,1395500205.0,ns,1
attention/prefill_throughput,seq_len,1024,1024,elements,1404341831.0,ns,1
attention/prefill_throughput,seq_len,1024,1024,elements,1416702360.0,ns,1
attention/prefill_throughput,seq_len,1024,1024,elements,1411415124.0,ns,1
attention/prefill_throughput,seq_len,1024,1024,elements,1448971823.0,ns,1
attention/prefill_throughput,seq_len,1024,1024,elements,1419154838.0,ns,1
attention/prefill_throughput,seq_len,1024,1024,elements,1482322276.0,ns,1
attention/prefill_throughput,seq_len,1024,1024,elements,1502112829.0,ns,1
attention/prefill_throughput,seq_len,1024,1024,elements,1433661655.0,ns,1
attention/prefill_throughput,seq_len,1024,1024,elements,1492580715.0,ns,1
attention/prefill_throughput,seq_len,1024,1024,elements,1542429974.0,ns,1
attention/prefill_throughput,seq_len,1024,1024,elements,1443215475.0,ns,1
attention/prefill_throughput,seq_len,1024,1024,elements,1607757746.0,ns,1
attention/prefill_throughput,seq_len,1024,1024,elements,1761919738.0,ns,1
attention/prefill_throughput,seq_len,1024,1024,elements,1655257406.0,ns,1
attention/prefill_throughput,seq_len,1024,1024,elements,1381715264.0,ns,1
attention/prefill_throughput,seq_len,1024,1024,elements,1384335462.0,ns,1
attention/prefill_throughput,seq_len,1024,1024,elements,1392919311.0,ns,1
attention/prefill_throughput,seq_len,1024,1024,elements,1305679707.0,ns,1
attention/prefill_throughput,seq_len,1024,1024,elements,1432990524.0,ns,1
attention/prefill_throughput,seq_len,1024,1024,elements,1659995065.0,ns,1
attention/prefill_throughput,seq_len,1024,1024,elements,1384968300.0,ns,1
attention/prefill_throughput,seq_len,1024,1024,elements,1339776826.0,ns,1
attention/prefill_throughput,seq_len,1024,1024,elements,1388806234.0,ns,1
attention/prefill_throughput,seq_len,1024,1024,elements,1349381153.0,ns,1
attention/prefill_throughput,seq_len,1024,1024,elements,1411714464.0,ns,1
attention/prefill_throughput,seq_len,1024,1024,elements,1381766721.0,ns,1
attention/prefill_throughput,seq_len,1024,1024,elements,1389586620.0,ns,1
attention/prefill_throughput,seq_len,1024,1024,elements,1479418965.0,ns,1
attention/prefill_throughput,seq_len,1024,1024,elements,1409541149.0,ns,1
