group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
attention/prefill_throughput,seq_len,512,512,elements,543906551.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,581805073.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,549262267.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,579062310.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,532386536.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,576252246.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,574220334.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,583584558.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,548277112.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,574336410.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,543178774.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,550205845.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,516708145.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,585750656.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,569388660.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,541994437.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,551321592.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,537600291.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,620466683.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,599612199.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,522190345.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,592686894.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,590901172.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,600552563.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,595758272.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,531172059.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,602099159.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,573152118.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,583800597.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,585642373.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,628483921.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,623833280.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,585971229.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,615335346.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,655638083.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,700508608.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,681755003.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,743963850.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,640211869.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,655374520.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,636740706.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,633280358.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,589582690.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,643583948.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,581564469.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,590126682.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,619475619.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,596286617.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,678985494.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,574051781.0,ns,1
