group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
attention/decode_breakdown,kv_cache_1024,,,,70824702.0,ns,4
attention/decode_breakdown,kv_cache_1024,,,,65440490.0,ns,4
attention/decode_breakdown,kv_cache_1024,,,,67819137.0,ns,4
attention/decode_breakdown,kv_cache_1024,,,,68034977.0,ns,4
attention/decode_breakdown,kv_cache_1024,,,,67245735.0,ns,4
attention/decode_breakdown,kv_cache_1024,,,,65848416.0,ns,4
attention/decode_breakdown,kv_cache_1024,,,,61925715.0,ns,4
attention/decode_breakdown,kv_cache_1024,,,,61122187.0,ns,4
attention/decode_breakdown,kv_cache_1024,,,,62942179.0,ns,4
attention/decode_breakdown,kv_cache_1024,,,,64885240.0,ns,4
attention/decode_breakdown,kv_cache_1024,,,,67121411.0,ns,4
attention/decode_breakdown,kv_cache_1024,,,,62694635.0,ns,4
attention/decode_breakdown,kv_cache_1024,,,,69936942.0,ns,4
attention/decode_breakdown,kv_cache_1024,,,,64381571.0,ns,4
attention/decode_breakdown,kv_cache_1024,,,,65065929.0,ns,4
attention/decode_breakdown,kv_cache_1024,,,,73598778.0,ns,4
attention/decode_breakdown,kv_cache_1024,,,,66099642.0,ns,4
attention/decode_breakdown,kv_cache_1024,,,,71500132.0,ns,4
attention/decode_breakdown,kv_cache_1024,,,,65770520.0,ns,4
attention/decode_breakdown,kv_cache_1024,,,,67973654.0,ns,4
attention/decode_breakdown,kv_cache_1024,,,,68804200.0,ns,4
attention/decode_breakdown,kv_cache_1024,,,,68534802.0,ns,4
attention/decode_breakdown,kv_cache_1024,,,,59310050.0,ns,4
attention/decode_breakdown,kv_cache_1024,,,,62172499.0,ns,4
attention/decode_breakdown,kv_cache_1024,,,,61393993.0,ns,4
attention/decode_breakdown,kv_cache_1024,,,,62532636.0,ns,4
attention/decode_breakdown,kv_cache_1024,,,,64188852.0,ns,4
attention/decode_breakdown,kv_cache_1024,,,,61127298.0,ns,4
attention/decode_breakdown,kv_cache_1024,,,,63556408.0,ns,4
attention/decode_breakdown,kv_cache_1024,,,,63788938.0,ns,4
