group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
attention/decode_throughput,kv_cache_len,256,1,elements,39895149.0,ns,5
attention/decode_throughput,kv_cache_len,256,1,elements,46713892.0,ns,5
attention/decode_throughput,kv_cache_len,256,1,elements,54940411.0,ns,5
attention/decode_throughput,kv_cache_len,256,1,elements,40623790.0,ns,5
attention/decode_throughput,kv_cache_len,256,1,elements,40123908.0,ns,5
attention/decode_throughput,kv_cache_len,256,1,elements,41314076.0,ns,5
attention/decode_throughput,kv_cache_len,256,1,elements,37699674.0,ns,5
attention/decode_throughput,kv_cache_len,256,1,elements,39863886.0,ns,5
attention/decode_throughput,kv_cache_len,256,1,elements,41842929.0,ns,5
attention/decode_throughput,kv_cache_len,256,1,elements,39304789.0,ns,5
attention/decode_throughput,kv_cache_len,256,1,elements,47808735.0,ns,5
attention/decode_throughput,kv_cache_len,256,1,elements,41198624.0,ns,5
attention/decode_throughput,kv_cache_len,256,1,elements,39461078.0,ns,5
attention/decode_throughput,kv_cache_len,256,1,elements,48133824.0,ns,5
attention/decode_throughput,kv_cache_len,256,1,elements,40605314.0,ns,5
attention/decode_throughput,kv_cache_len,256,1,elements,37476852.0,ns,5
attention/decode_throughput,kv_cache_len,256,1,elements,41165330.0,ns,5
attention/decode_throughput,kv_cache_len,256,1,elements,41056533.0,ns,5
attention/decode_throughput,kv_cache_len,256,1,elements,38057583.0,ns,5
attention/decode_throughput,kv_cache_len,256,1,elements,40924863.0,ns,5
attention/decode_throughput,kv_cache_len,256,1,elements,37480907.0,ns,5
attention/decode_throughput,kv_cache_len,256,1,elements,39918647.0,ns,5
attention/decode_throughput,kv_cache_len,256,1,elements,52692248.0,ns,5
attention/decode_throughput,kv_cache_len,256,1,elements,42699399.0,ns,5
attention/decode_throughput,kv_cache_len,256,1,elements,38985499.0,ns,5
attention/decode_throughput,kv_cache_len,256,1,elements,43954371.0,ns,5
attention/decode_throughput,kv_cache_len,256,1,elements,41757967.0,ns,5
attention/decode_throughput,kv_cache_len,256,1,elements,42169600.0,ns,5
attention/decode_throughput,kv_cache_len,256,1,elements,37543464.0,ns,5
attention/decode_throughput,kv_cache_len,256,1,elements,42657328.0,ns,5
attention/decode_throughput,kv_cache_len,256,1,elements,41321585.0,ns,5
attention/decode_throughput,kv_cache_len,256,1,elements,37725202.0,ns,5
attention/decode_throughput,kv_cache_len,256,1,elements,40302488.0,ns,5
attention/decode_throughput,kv_cache_len,256,1,elements,41052991.0,ns,5
attention/decode_throughput,kv_cache_len,256,1,elements,44614530.0,ns,5
attention/decode_throughput,kv_cache_len,256,1,elements,39882412.0,ns,5
attention/decode_throughput,kv_cache_len,256,1,elements,42085142.0,ns,5
attention/decode_throughput,kv_cache_len,256,1,elements,42051778.0,ns,5
attention/decode_throughput,kv_cache_len,256,1,elements,42306946.0,ns,5
attention/decode_throughput,kv_cache_len,256,1,elements,42998156.0,ns,5
attention/decode_throughput,kv_cache_len,256,1,elements,38698366.0,ns,5
attention/decode_throughput,kv_cache_len,256,1,elements,40428572.0,ns,5
attention/decode_throughput,kv_cache_len,256,1,elements,41096179.0,ns,5
attention/decode_throughput,kv_cache_len,256,1,elements,40773950.0,ns,5
attention/decode_throughput,kv_cache_len,256,1,elements,41337639.0,ns,5
attention/decode_throughput,kv_cache_len,256,1,elements,44111536.0,ns,5
attention/decode_throughput,kv_cache_len,256,1,elements,46673836.0,ns,5
attention/decode_throughput,kv_cache_len,256,1,elements,45227305.0,ns,5
attention/decode_throughput,kv_cache_len,256,1,elements,38409879.0,ns,5
attention/decode_throughput,kv_cache_len,256,1,elements,44761857.0,ns,5
