group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
attention/decode_throughput,kv_cache_len,4096,1,elements,87481620.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,96953814.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,84131950.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,95270911.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,79369490.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,98176918.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,85998219.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,93237527.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,81316212.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,96315791.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,75935274.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,97816890.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,77384895.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,92522656.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,83441913.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,98504795.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,78127257.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,97476494.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,84472131.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,102175495.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,86178650.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,92917201.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,83683373.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,101581312.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,79870959.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,104344741.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,75926478.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,104759818.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,76960829.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,96792557.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,76497948.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,99744674.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,76053607.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,100460722.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,88574962.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,99522187.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,74121199.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,107226936.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,86672245.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,89666946.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,80725499.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,98659935.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,83639039.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,94406161.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,92746240.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,100855383.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,77244774.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,93570813.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,90376316.0,ns,1
attention/decode_throughput,kv_cache_len,4096,1,elements,110136924.0,ns,1
