group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
attention/prefill_breakdown,seq_len_512,,,,561463090.0,ns,1
attention/prefill_breakdown,seq_len_512,,,,498604644.0,ns,1
attention/prefill_breakdown,seq_len_512,,,,475150331.0,ns,1
attention/prefill_breakdown,seq_len_512,,,,466368028.0,ns,1
attention/prefill_breakdown,seq_len_512,,,,448075208.0,ns,1
attention/prefill_breakdown,seq_len_512,,,,460655820.0,ns,1
attention/prefill_breakdown,seq_len_512,,,,458489033.0,ns,1
attention/prefill_breakdown,seq_len_512,,,,458174513.0,ns,1
attention/prefill_breakdown,seq_len_512,,,,453820751.0,ns,1
attention/prefill_breakdown,seq_len_512,,,,446155188.0,ns,1
attention/prefill_breakdown,seq_len_512,,,,426252080.0,ns,1
attention/prefill_breakdown,seq_len_512,,,,470538649.0,ns,1
attention/prefill_breakdown,seq_len_512,,,,507029351.0,ns,1
attention/prefill_breakdown,seq_len_512,,,,481332384.0,ns,1
attention/prefill_breakdown,seq_len_512,,,,496666715.0,ns,1
attention/prefill_breakdown,seq_len_512,,,,450650413.0,ns,1
attention/prefill_breakdown,seq_len_512,,,,461627077.0,ns,1
attention/prefill_breakdown,seq_len_512,,,,495128282.0,ns,1
attention/prefill_breakdown,seq_len_512,,,,474029784.0,ns,1
attention/prefill_breakdown,seq_len_512,,,,483317172.0,ns,1
attention/prefill_breakdown,seq_len_512,,,,462965035.0,ns,1
attention/prefill_breakdown,seq_len_512,,,,473517659.0,ns,1
attention/prefill_breakdown,seq_len_512,,,,465929706.0,ns,1
attention/prefill_breakdown,seq_len_512,,,,461542942.0,ns,1
attention/prefill_breakdown,seq_len_512,,,,473003937.0,ns,1
attention/prefill_breakdown,seq_len_512,,,,477238953.0,ns,1
attention/prefill_breakdown,seq_len_512,,,,502612826.0,ns,1
attention/prefill_breakdown,seq_len_512,,,,487627018.0,ns,1
attention/prefill_breakdown,seq_len_512,,,,508895144.0,ns,1
attention/prefill_breakdown,seq_len_512,,,,513992043.0,ns,1
