group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
attention/prefill_throughput,seq_len,256,256,elements,223937444.0,ns,1
attention/prefill_throughput,seq_len,256,256,elements,246363959.0,ns,1
attention/prefill_throughput,seq_len,256,256,elements,228175102.0,ns,1
attention/prefill_throughput,seq_len,256,256,elements,204930619.0,ns,1
attention/prefill_throughput,seq_len,256,256,elements,228330635.0,ns,1
attention/prefill_throughput,seq_len,256,256,elements,188937917.0,ns,1
attention/prefill_throughput,seq_len,256,256,elements,212009493.0,ns,1
attention/prefill_throughput,seq_len,256,256,elements,203182251.0,ns,1
attention/prefill_throughput,seq_len,256,256,elements,205061277.0,ns,1
attention/prefill_throughput,seq_len,256,256,elements,207554028.0,ns,1
attention/prefill_throughput,seq_len,256,256,elements,188823159.0,ns,1
attention/prefill_throughput,seq_len,256,256,elements,201060456.0,ns,1
attention/prefill_throughput,seq_len,256,256,elements,191230416.0,ns,1
attention/prefill_throughput,seq_len,256,256,elements,204638893.0,ns,1
attention/prefill_throughput,seq_len,256,256,elements,217822968.0,ns,1
attention/prefill_throughput,seq_len,256,256,elements,218065863.0,ns,1
attention/prefill_throughput,seq_len,256,256,elements,187896452.0,ns,1
attention/prefill_throughput,seq_len,256,256,elements,215295747.0,ns,1
attention/prefill_throughput,seq_len,256,256,elements,198126338.0,ns,1
attention/prefill_throughput,seq_len,256,256,elements,230559736.0,ns,1
attention/prefill_throughput,seq_len,256,256,elements,215462328.0,ns,1
attention/prefill_throughput,seq_len,256,256,elements,211807107.0,ns,1
attention/prefill_throughput,seq_len,256,256,elements,217598804.0,ns,1
attention/prefill_throughput,seq_len,256,256,elements,219599230.0,ns,1
attention/prefill_throughput,seq_len,256,256,elements,221867950.0,ns,1
attention/prefill_throughput,seq_len,256,256,elements,219714951.0,ns,1
attention/prefill_throughput,seq_len,256,256,elements,205474916.0,ns,1
attention/prefill_throughput,seq_len,256,256,elements,218258002.0,ns,1
attention/prefill_throughput,seq_len,256,256,elements,242294110.0,ns,1
attention/prefill_throughput,seq_len,256,256,elements,206806582.0,ns,1
attention/prefill_throughput,seq_len,256,256,elements,209782718.0,ns,1
attention/prefill_throughput,seq_len,256,256,elements,242896388.0,ns,1
attention/prefill_throughput,seq_len,256,256,elements,212169178.0,ns,1
attention/prefill_throughput,seq_len,256,256,elements,229155419.0,ns,1
attention/prefill_throughput,seq_len,256,256,elements,198110964.0,ns,1
attention/prefill_throughput,seq_len,256,256,elements,208131917.0,ns,1
attention/prefill_throughput,seq_len,256,256,elements,208218832.0,ns,1
attention/prefill_throughput,seq_len,256,256,elements,211975150.0,ns,1
attention/prefill_throughput,seq_len,256,256,elements,218874506.0,ns,1
attention/prefill_throughput,seq_len,256,256,elements,201663761.0,ns,1
attention/prefill_throughput,seq_len,256,256,elements,206504050.0,ns,1
attention/prefill_throughput,seq_len,256,256,elements,237233964.0,ns,1
attention/prefill_throughput,seq_len,256,256,elements,223936874.0,ns,1
attention/prefill_throughput,seq_len,256,256,elements,244749274.0,ns,1
attention/prefill_throughput,seq_len,256,256,elements,242201242.0,ns,1
attention/prefill_throughput,seq_len,256,256,elements,218486175.0,ns,1
attention/prefill_throughput,seq_len,256,256,elements,204585604.0,ns,1
attention/prefill_throughput,seq_len,256,256,elements,217736555.0,ns,1
attention/prefill_throughput,seq_len,256,256,elements,242257058.0,ns,1
attention/prefill_throughput,seq_len,256,256,elements,215783861.0,ns,1
