group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
attention/prefill_throughput,seq_len,512,512,elements,561132593.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,503020090.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,518984819.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,535785328.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,556250077.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,542458451.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,505613444.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,532545469.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,519918460.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,581068158.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,469138418.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,474674755.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,441606405.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,460290926.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,464246289.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,529026625.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,475310787.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,486360159.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,476396043.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,513649414.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,489641348.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,494965138.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,483678109.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,513505105.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,459111145.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,516960678.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,605052383.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,526527544.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,456387128.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,488701786.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,469178263.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,463926225.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,511958932.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,496486907.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,472529249.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,478062721.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,477174446.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,477377184.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,487842053.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,511239802.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,500938839.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,488197078.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,496043457.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,484645226.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,490723949.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,481657428.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,487023900.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,474606485.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,545210462.0,ns,1
attention/prefill_throughput,seq_len,512,512,elements,495358800.0,ns,1
